name,date,value
East Killingly 1.3 Sw,2163,26
East Killingly 1.3 Sw,2177,7
East Killingly 1.3 Sw,2184,25
Groton,7,89
Groton,350,19
Groton,700,64
Groton,707,53
Groton,756,127
Groton,763,79
Groton,770,38
Groton,1092,2
Groton,1113,17
Groton,1120,25
Groton,1127,15
Groton,1134,56
Groton,1141,5
Groton,1148,95
Groton,1162,38
Groton,1169,38
Groton,1484,15
Groton,1491,33
Groton,1533,9
Groton,1820,47
Groton,1827,1
Groton,1848,11
Groton,1855,58
Groton,1862,11
Groton,1883,15
Groton,1890,11
Hartford Bradley Intl Ap,7,25
Hartford Bradley Intl Ap,42,5
Hartford Bradley Intl Ap,49,21
Hartford Bradley Intl Ap,77,1
Hartford Bradley Intl Ap,301,9
Hartford Bradley Intl Ap,322,2
Hartford Bradley Intl Ap,350,45
Hartford Bradley Intl Ap,357,1
Hartford Bradley Intl Ap,364,1
Hartford Bradley Intl Ap,371,12
Hartford Bradley Intl Ap,378,2
Hartford Bradley Intl Ap,385,6
Hartford Bradley Intl Ap,392,82
Hartford Bradley Intl Ap,399,9
Hartford Bradley Intl Ap,413,1
Hartford Bradley Intl Ap,420,16
Hartford Bradley Intl Ap,427,0
Hartford Bradley Intl Ap,434,19
Hartford Bradley Intl Ap,693,1
Hartford Bradley Intl Ap,700,21
Hartford Bradley Intl Ap,707,23
Hartford Bradley Intl Ap,714,1
Hartford Bradley Intl Ap,721,26
Hartford Bradley Intl Ap,728,5
Hartford Bradley Intl Ap,735,1
Hartford Bradley Intl Ap,742,6
Hartford Bradley Intl Ap,756,46
Hartford Bradley Intl Ap,763,38
Hartford Bradley Intl Ap,770,14
Hartford Bradley Intl Ap,777,0
Hartford Bradley Intl Ap,812,3
Hartford Bradley Intl Ap,826,1
Hartford Bradley Intl Ap,1050,19
Hartford Bradley Intl Ap,1064,0
Hartford Bradley Intl Ap,1078,2
Hartford Bradley Intl Ap,1085,7
Hartford Bradley Intl Ap,1092,8
Hartford Bradley Intl Ap,1099,1
Hartford Bradley Intl Ap,1106,18
Hartford Bradley Intl Ap,1113,29
Hartford Bradley Intl Ap,1120,43
Hartford Bradley Intl Ap,1127,32
Hartford Bradley Intl Ap,1134,34
Hartford Bradley Intl Ap,1141,6
Hartford Bradley Intl Ap,1148,16
Hartford Bradley Intl Ap,1162,13
Hartford Bradley Intl Ap,1169,3
Hartford Bradley Intl Ap,1449,4
Hartford Bradley Intl Ap,1463,1
Hartford Bradley Intl Ap,1470,6
Hartford Bradley Intl Ap,1484,24
Hartford Bradley Intl Ap,1491,21
Hartford Bradley Intl Ap,1498,4
Hartford Bradley Intl Ap,1505,2
Hartford Bradley Intl Ap,1512,1
Hartford Bradley Intl Ap,1533,10
Hartford Bradley Intl Ap,1547,25
Hartford Bradley Intl Ap,1750,5
Hartford Bradley Intl Ap,1792,2
Hartford Bradley Intl Ap,1799,34
Hartford Bradley Intl Ap,1813,1
Hartford Bradley Intl Ap,1820,15
Hartford Bradley Intl Ap,1841,7
Hartford Bradley Intl Ap,1848,11
Hartford Bradley Intl Ap,1855,61
Hartford Bradley Intl Ap,1862,19
Hartford Bradley Intl Ap,1883,8
Hartford Bradley Intl Ap,1904,5
Hartford Bradley Intl Ap,2156,20
Hartford Bradley Intl Ap,2163,3
Hartford Bradley Intl Ap,2177,13
Mt Carmel,301,33
Mt Carmel,700,51
Mt Carmel,707,64
Mt Carmel,812,13
Mt Carmel,1092,11
Mt Carmel,1106,15
Mt Carmel,1113,27
Mt Carmel,1120,67
Mt Carmel,1127,38
Mt Carmel,1134,51
Mt Carmel,1141,61
Mt Carmel,1148,29
Mt Carmel,1162,11
Mt Carmel,1169,4
Mt Carmel,1477,29
Mt Carmel,1484,42
Mt Carmel,1491,16
Mt Carmel,1498,4
Mt Carmel,1533,11
Mt Carmel,1792,4
Mt Carmel,1799,15
Mt Carmel,1806,4
Mt Carmel,1820,4
Mt Carmel,1827,20
Mt Carmel,1834,4
Mt Carmel,1848,11
Mt Carmel,1855,36
Mt Carmel,1862,11
Mt Carmel,1883,13
Mt Carmel,1890,33
Mt Carmel,2163,25
Mt Carmel,2184,25
Stamford 5 N,301,18
Stamford 5 N,350,18
Stamford 5 N,357,4
Stamford 5 N,371,14
Stamford 5 N,378,1
Stamford 5 N,392,60
Stamford 5 N,399,1
Stamford 5 N,420,33
Stamford 5 N,427,4
Stamford 5 N,434,15
Stamford 5 N,700,24
Stamford 5 N,707,13
